,ds,y
654875,21-04-2020,37.1
654876,22-04-2020,41.6
654877,23-04-2020,38.4
654878,24-04-2020,38.3
654879,25-04-2020,40.1
654880,26-04-2020,40.4
654881,27-04-2020,41.4
654882,28-04-2020,40.8
654883,29-04-2020,38.6
654884,30-04-2020,39.9
654885,05-01-2020,39.2
654886,05-02-2020,40.4
654887,05-03-2020,42.2
654888,05-04-2020,43
654889,05-05-2020,44
654890,05-06-2020,43.2
654891,05-07-2020,40.8
654892,05-08-2020,39.6
654893,05-09-2020,40.3
654897,13-05-2020,42.5
654898,14-05-2020,41.6
654899,15-05-2020,41.4
654900,16-05-2020,40
654901,17-05-2020,41.9
654902,18-05-2020,41.1
654903,19-05-2020,42.3
654904,20-05-2020,39.6
654905,21-05-2020,42.4
654906,22-05-2020,42.7
654907,23-05-2020,43.1
654908,24-05-2020,42.6
654909,25-05-2020,43.8
654910,26-05-2020,42.1
654911,27-05-2020,42.2
654912,28-05-2020,43.1
654913,29-05-2020,42.7
654914,30-05-2020,41.8
654915,31-05-2020,34.5
684150,06-01-2020,37.5
684151,06-02-2020,35.5
684152,06-03-2020,36.2
684153,06-04-2020,35.4
684154,06-05-2020,36.5
684155,06-06-2020,37.6
684156,06-07-2020,37.2
684157,06-08-2020,36.8
684158,06-09-2020,38.3
684162,13-06-2020,30.8
684163,14-06-2020,34.2
684164,15-06-2020,34.5
684165,16-06-2020,35.5
684166,17-06-2020,34
684167,18-06-2020,31.9
684168,19-06-2020,34.3
684169,20-06-2020,33.6
684170,21-06-2020,34.3
684171,22-06-2020,31.9
684172,23-06-2020,31.1
684173,24-06-2020,34
684174,25-06-2020,36.7
684175,26-06-2020,37
684176,27-06-2020,35.9
684177,28-06-2020,36.7
684178,29-06-2020,35.4
684179,30-06-2020,34.1
708668,07-01-2020,35.7
708669,07-02-2020,35
708670,07-03-2020,36.1
708671,07-04-2020,35.5
708672,07-05-2020,33
708673,07-06-2020,30.5
708674,07-07-2020,30.6
708675,07-08-2020,34.7
708676,07-09-2020,35.3
708680,13-07-2020,33.7
708681,14-07-2020,31.2
708682,15-07-2020,33.5
708683,16-07-2020,33.3
708684,17-07-2020,31.7
708685,18-07-2020,34.6
708686,19-07-2020,37.5
708687,20-07-2020,35.3
708688,21-07-2020,35.9
708689,22-07-2020,35.4
708690,23-07-2020,34.9
708691,24-07-2020,26.3
708692,25-07-2020,34.5
708693,26-07-2020,34.9
708694,27-07-2020,36.5
708695,28-07-2020,35.7
708696,29-07-2020,36.1
708697,30-07-2020,34.4
708698,31-07-2020,36.4
708699,08-01-2020,37.2
708700,08-02-2020,35.8
708701,08-03-2020,36.1
708702,08-04-2020,34
708703,08-05-2020,31.4
708704,08-06-2020,31.8
708705,08-07-2020,33.6
708706,08-08-2020,35
708707,08-09-2020,33.5
708711,13-08-2020,30.3
708712,14-08-2020,24.8
708713,15-08-2020,27
708714,16-08-2020,24.7
708715,17-08-2020,24.8
708716,18-08-2020,27.5
708717,19-08-2020,31.8
708718,20-08-2020,28.2
708719,21-08-2020,25.7
708720,22-08-2020,31.1
708721,23-08-2020,33.7
708722,24-08-2020,34.3
708723,25-08-2020,34.1
708724,26-08-2020,34.6
708725,27-08-2020,32.6
708726,28-08-2020,28.7
708727,29-08-2020,30.5
708728,30-08-2020,33.3
708729,31-08-2020,34.8
738338,09-01-2020,35
738339,09-02-2020,36.1
738340,09-03-2020,34.1
738341,09-04-2020,35.3
738342,09-05-2020,34.4
738343,09-06-2020,33.5
738344,09-07-2020,35.8
738345,09-08-2020,35.7
738346,09-09-2020,35.5
738350,13-09-2020,33.9
738351,14-09-2020,32.6
738352,15-09-2020,31.8
738353,16-09-2020,32.5
738354,17-09-2020,31.7
738355,18-09-2020,33.8
738356,19-09-2020,31.9
738357,20-09-2020,32.8
738358,21-09-2020,32.5
738359,22-09-2020,30.4
738360,23-09-2020,33.2
738361,24-09-2020,31.4
738362,25-09-2020,32.6
738363,26-09-2020,32.5
738364,27-09-2020,28.8
738365,28-09-2020,30.4
738366,29-09-2020,32.5
738367,30-09-2020,32.5
769276,01-10-2020,32.1
769277,02-10-2020,32.1
769278,03-10-2020,32.4
769279,04-10-2020,33.5
769280,05-10-2020,33.2
769281,06-10-2020,33.5
769282,07-10-2020,33.7
769283,08-10-2020,26.8
769284,09-10-2020,30
769285,10-10-2020,33.4
769286,11-10-2020,33.3
769287,12-10-2020,29.9
769288,13-10-2020,30.7
769289,14-10-2020,26.9
769290,15-10-2020,28.9
769291,16-10-2020,30.5
769292,17-10-2020,33.5
769293,18-10-2020,32
769294,19-10-2020,32.5
769295,20-10-2020,33.2
769296,21-10-2020,32.9
769297,22-10-2020,32.2
769298,23-10-2020,34.2
769299,24-10-2020,32.5
769300,25-10-2020,34
769301,26-10-2020,33.3
769302,27-10-2020,32.9
769303,28-10-2020,32.3
769304,29-10-2020,32.7
769305,30-10-2020,32.1
769306,31-10-2020,31.7
769307,01-11-2020,31.6
769308,02-11-2020,32.2
769309,03-11-2020,32.3
769310,04-11-2020,32.8
769311,05-11-2020,34.6
